halo_id,m200_msun,r200_kpc_h,n_gas_particles,control_gas_mass_ratio,control_inner_icm_T_K,control_pass,n_annulus,n_whim,mass_annulus_msun,mass_whim_msun,whim_mass_fraction_pct,group_mass_total_msun,group_nsubs,group_first_sub_id,elapsed_s,cold_fraction_pct,whim_fraction_pct_recomputed,hot_fraction_pct,hot_fraction_inner_pct,hot_fraction_outer_pct
5,733527377195896.1,1288.1553955078125,12224116,0.999998844556797,43304588.0,True,3835078,94361,45220273557388.47,1139330818653.732,2.5195133267113516,1057656457595217.0,4318,33174,164.9,0.08361697597675401,2.5195133267113516,97.39686969731187,98.45674264863275,45.17643023882427
7,581220648342928.9,1192.0220947265625,9914187,0.9999946961254517,46857160.0,True,2976339,745252,34707307623154.773,8795314190944.987,25.341390022074908,935069867323590.2,4684,42631,139.8,0.6987640275032007,25.341390022074908,73.9598459504219,78.2048595339681,53.08507020017008
8,398251615782772.4,1050.861572265625,9060749,0.9999840683745498,40911532.0,True,4055196,1013804,47565776332001.72,11955378506653.117,25.13441265671023,844341934695158.0,4197,47315,136.7,2.175939065612141,25.13441265671023,72.68964827767763,65.07545303120628,78.13874191059229
9,641211629484056.6,1231.6568603515625,9047961,0.9999890968626434,50806008.0,True,1149434,135775,13633592070628.213,1614220296565.545,11.840021970755389,799368679878948.9,3548,51512,124.6,2.1821966525798016,11.840021970755389,85.97778137666482,87.9635459935857,3.1519641129546203
10,635853481602450.5,1228.2647705078125,8171949,0.9999940535844349,55472808.0,True,845243,89367,10013305224309.664,1064383250622.5955,10.629689465957291,753363849830233.2,3021,55060,116.3,2.7867276235987295,10.629689465957291,86.58358291044397,87.84636462027527,35.26821682901174
11,547336957023176.9,1168.38818359375,7957782,0.9999945190251538,48431412.0,True,1477235,572954,17394443281925.242,6780303762352.475,38.97971123570228,723243859794803.6,3601,58081,126.3,1.151853064908756,38.97971123570228,59.86843569938897,67.42449157953449,5.417031584088448
12,655181518951136.8,1240.55078125,7867389,0.9999980775233328,37107352.0,True,834405,156109,9775620540422.086,1870490108228.4788,19.134233990507532,723247665707115.5,3247,61682,138.6,0.6350047853964368,19.134233990507532,80.23076122409603,80.67185292087794,0.0761338110448
13,553877302000295.25,1172.979248046875,7920409,0.9999869420799089,49019248.0,True,1035740,252506,12259972497451.896,2993900549304.9546,24.420124514367423,713851156536020.1,3280,64929,111.7,4.793521736723042,24.420124514367423,70.78635374890953,72.13000735812254,6.3196045542435515
14,437283207161573.7,1084.143798828125,7370605,0.999994721235283,41844484.0,True,1155528,194132,13649427176529.46,2336378576387.828,17.117044885262956,622760854923235.9,1937,68209,84.1,0.6393178569061232,17.117044885262956,82.24363725783091,84.50025551793723,81.18304242028952
15,497315966840124.0,1131.6612548828125,6922717,0.9999891339967022,43315468.0,True,902284,168187,10690634051952.727,2001465898132.7512,18.721676267341394,624285814788160.6,2510,70146,106.5,3.2411175063985755,18.721676267341394,78.03720622626004,80.2483942877455,6.164340322288936
16,379204235634411.0,1033.86328125,6867097,0.999988786567431,28871192.0,True,1458637,292120,17051988288805.967,3449669160680.4688,20.230304538415943,625340917478594.6,3170,72656,83.1,2.0131513854094703,20.230304538415943,77.75654407617459,77.93206427285554,77.44911892818628
17,416661505618910.56,1066.82666015625,6583267,0.9999909038491035,40199524.0,True,1723968,759571,20090093214821.0,8798951239396.518,43.797463482674615,605567127066725.8,2696,75826,106.6,1.5099105966807551,43.797463482674615,54.69262592064464,77.21265262106147,17.368156430568707
18,407155230476823.1,1058.6575927734375,6253038,0.9999920713215011,36302872.0,True,1666640,724020,19565429825623.84,8547884255276.124,43.68871183234318,605692952834366.8,3096,78522,75.0,1.8162933826575085,43.68871183234318,54.49499478499932,59.7891628294694,6.34695007882802
19,467371856085769.1,1108.426513671875,6206683,0.9999794545339954,45899920.0,True,820427,427289,9639988591986.076,5000756914655.348,51.87513311802652,593977951081340.4,2583,81618,70.3,5.248435375240916,51.87513311802652,42.876431506732565,51.121332263825565,3.925662033202886
20,431286819318349.56,1079.1817626953125,5950196,0.9999925527687442,40982712.0,True,1208824,252025,14148824942293.645,3004988674352.131,21.238432778750575,583965114777088.9,2732,84201,88.2,1.6599098512373405,21.238432778750575,77.10165737001209,78.39038588585447,5.088540234319271
21,382146090520741.06,1036.5291748046875,6220077,0.9999894025137718,34650696.0,True,1131289,543283,13304148050002.797,6409541926827.479,48.177018947305925,554130914157071.1,2365,86933,84.2,1.7749460816162552,48.177018947305925,50.04803497107785,57.86823537961936,2.690650518143318
22,360359577981989.94,1016.4314575195312,5935296,0.9999845276754742,39102880.0,True,1647096,824781,19186100133536.21,9643263428241.172,50.261717395007736,560394119519486.25,2778,89298,85.1,1.6326894330728525,50.261717395007736,48.10559317191938,57.8854145148638,39.198256485878744
