halo_id,m200_msun,r200_kpc_h,n_gas_particles,control_gas_mass_ratio,control_inner_icm_T_K,control_pass,n_annulus,n_whim,mass_annulus_msun,mass_whim_msun,whim_mass_fraction_pct,group_mass_total_msun,group_nsubs,group_first_sub_id,elapsed_s,n_dm_in_r200,sigma_v_1d_kms
5,733527377195896.1,1288.1553955078125,12224116,0.999998844556797,43304588.0,True,3835078,94361,45220273557388.47,1139330818653.732,2.5195133267113516,1057656457595217.0,4318,33174,164.9,10370763,901.3336295173017
7,581220648342928.9,1192.0220947265625,9914187,0.9999946961254517,46857160.0,True,2976339,745252,34707307623154.773,8795314190944.987,25.341390022074908,935069867323590.2,4684,42631,139.8,8248173,800.6779335144823
8,398251615782772.4,1050.861572265625,9060749,0.9999840683745498,40911532.0,True,4055196,1013804,47565776332001.72,11955378506653.117,25.13441265671023,844341934695158.0,4197,47315,136.7,5640962,734.9072557112552
9,641211629484056.6,1231.6568603515625,9047961,0.9999890968626434,50806008.0,True,1149434,135775,13633592070628.213,1614220296565.545,11.840021970755389,799368679878948.9,3548,51512,124.6,9059116,843.9460855530773
10,635853481602450.5,1228.2647705078125,8171949,0.9999940535844349,55472808.0,True,845243,89367,10013305224309.664,1064383250622.5955,10.629689465957291,753363849830233.2,3021,55060,116.3,9085901,803.4889963419362
11,547336957023176.9,1168.38818359375,7957782,0.9999945190251538,48431412.0,True,1477235,572954,17394443281925.242,6780303762352.475,38.97971123570228,723243859794803.6,3601,58081,126.3,7672750,823.1788352317966
12,655181518951136.8,1240.55078125,7867389,0.9999980775233328,37107352.0,True,834405,156109,9775620540422.086,1870490108228.4788,19.134233990507532,723247665707115.5,3247,61682,138.6,9343529,811.6036246750834
13,553877302000295.25,1172.979248046875,7920409,0.9999869420799089,49019248.0,True,1035740,252506,12259972497451.896,2993900549304.9546,24.420124514367423,713851156536020.1,3280,64929,111.7,7792811,793.1247696230406
14,437283207161573.7,1084.143798828125,7370605,0.999994721235283,41844484.0,True,1155528,194132,13649427176529.46,2336378576387.828,17.117044885262956,622760854923235.9,1937,68209,84.1,6169399,725.3012470121338
15,497315966840124.0,1131.6612548828125,6922717,0.9999891339967022,43315468.0,True,902284,168187,10690634051952.727,2001465898132.7512,18.721676267341394,624285814788160.6,2510,70146,106.5,6953882,744.4529848752059
16,379204235634411.0,1033.86328125,6867097,0.999988786567431,28871192.0,True,1458637,292120,17051988288805.967,3449669160680.4688,20.230304538415943,625340917478594.6,3170,72656,83.1,5346594,735.2171396158249
17,416661505618910.56,1066.82666015625,6583267,0.9999909038491035,40199524.0,True,1723968,759571,20090093214821.0,8798951239396.518,43.797463482674615,605567127066725.8,2696,75826,106.6,5925395,708.7200093497553
18,407155230476823.1,1058.6575927734375,6253038,0.9999920713215011,36302872.0,True,1666640,724020,19565429825623.84,8547884255276.124,43.68871183234318,605692952834366.8,3096,78522,75.0,5846836,668.383839653999
19,467371856085769.1,1108.426513671875,6206683,0.9999794545339954,45899920.0,True,820427,427289,9639988591986.076,5000756914655.348,51.87513311802652,593977951081340.4,2583,81618,70.3,6570613,757.9103484575726
20,431286819318349.56,1079.1817626953125,5950196,0.9999925527687442,40982712.0,True,1208824,252025,14148824942293.645,3004988674352.131,21.238432778750575,583965114777088.9,2732,84201,88.2,6194633,703.162469358752
21,382146090520741.06,1036.5291748046875,6220077,0.9999894025137718,34650696.0,True,1131289,543283,13304148050002.797,6409541926827.479,48.177018947305925,554130914157071.1,2365,86933,84.2,5339065,680.0098492710933
22,360359577981989.94,1016.4314575195312,5935296,0.9999845276754742,39102880.0,True,1647096,824781,19186100133536.21,9643263428241.172,50.261717395007736,560394119519486.25,2778,89298,85.1,5105969,709.8250330290078
23,392225501457779.75,1045.540771484375,5775418,0.9999866580369632,36849812.0,True,1225711,132435,14435297235514.25,1551079121394.5598,10.745044567413116,560220662182610.0,2677,92076,64.3,5592533,690.2873236644723
24,367364878579864.2,1022.9683837890625,5591420,0.9999950666174868,33469550.0,True,1398755,646521,16328981558329.898,7569207769985.516,46.354438842049134,536074397512548.0,2654,94753,75.6,5289176,640.5761331069873
25,219906737848759.97,862.1451416015625,5540923,0.9999877253837861,26253356.0,True,1695519,659286,19989301591947.953,7893293423474.797,39.48758983482623,532539973612341.3,2831,97407,69.1,3137873,609.2889496214815
26,278377257021331.56,932.6347045898438,5682967,0.9999929309743268,28420988.0,True,1508211,689173,17680756670593.18,8154695608306.77,46.12187000949878,512800609407292.56,2360,100238,57.8,3962070,630.5288400421825
27,456104481519412.44,1099.4970703125,5836025,0.9999940804877429,40906676.0,True,342783,35454,4071979366695.679,426484886219.5747,10.473650473471276,499125389817685.25,1801,102598,56.8,6472535,704.746907885868
28,471019477044582.25,1111.35546875,5592412,0.9999889384795448,47281248.0,True,304566,134623,3567070467783.173,1610163086578.2441,45.139648939397375,503952555266460.0,2414,104399,48.8,6686867,798.8563523055841
29,212362410503395.34,852.1715087890625,5341014,0.9999868527273229,26928140.0,True,760830,286952,8919577922133.27,3431233837629.62,38.4685673199319,492075398582816.6,2465,106813,56.8,3013188,580.2443025063488
30,389327328065028.06,1042.9461669921875,5117690,0.9999994202055168,35249024.0,True,759357,266818,8967428831299.182,3200294481906.8765,35.68798305637876,500442869796279.9,2659,109278,49.1,5579135,712.3627117950364
31,390177372813330.4,1043.7596435546875,5028909,0.9999952450786521,42666164.0,True,757719,55507,8933384438135.898,679988386918.4409,7.611766756791808,492002163603483.94,2249,111937,45.5,5576202,708.1402080488712
32,390393733161721.3,1043.893798828125,5115399,0.9999945541915131,37966464.0,True,649709,85035,7652912566085.414,1038148220077.9075,13.565400246156697,472852629308754.06,1894,114186,45.2,5535609,697.3988541787639
33,369590789461544.1,1025.0029296875,4912655,0.9999917726114571,46053812.0,True,683175,495026,7984480252313.209,5819391026833.439,72.88378007006136,467892660586433.44,2175,116080,51.3,5239808,741.1759558282765
35,381228058338869.2,1035.70703125,5143479,0.9999970691218805,36572956.0,True,493101,54954,5870715976409.568,667981982126.0673,11.378203013231001,447255072243135.5,1746,120494,38.9,5385281,673.8006245185384
36,374207966581783.3,1029.2822265625,4887514,0.999991093641398,36122320.0,True,604383,175477,7095595043828.815,2126085113753.1516,29.963450572087698,450893034257824.06,2092,122240,39.3,5370548,698.9507296409555
37,197666874838537.06,832.0463256835938,4914137,0.9999965978179538,22956622.0,True,2410386,392304,28100320386379.58,4663659149792.572,16.596462551555394,445847663169840.56,2061,124332,53.0,2790641,623.8313659411691
38,128062115948848.53,719.945068359375,4680418,0.999979092862421,21398598.0,True,671846,270514,7871963264690.262,3237617636656.538,41.12846475260996,454185407901535.25,2231,126393,50.3,1809630,510.0940054410195
39,334133439898878.06,991.1527099609375,4645369,0.99999349013735,38861600.0,True,798473,94866,9445148803189.422,1167650766412.052,12.362439075790544,453641739094331.25,2112,128624,45.3,4754974,646.5734343081242
40,235068094114444.94,881.5040283203125,4760606,0.9999858182741934,26923616.0,True,2014415,436485,23534586452397.15,5148433309592.355,21.876030496673355,422034963647770.9,2017,130736,33.3,3343236,614.5710787021553
41,357260815710806.0,1013.5068359375,4482965,0.9999940691786698,27364192.0,True,612099,128392,7168936288464.083,1512799120950.1653,21.1021420762867,424741197962798.94,2111,132753,26.8,5113225,641.2008246533492
42,198878726334145.25,833.72509765625,4410310,0.9999898464454222,26201380.0,True,1237295,392982,14366116864155.0,4675597869262.505,32.54601026481013,412773996853779.1,2099,134864,33.6,2847716,592.6498740630317
43,343380711175081.2,1000.2139282226562,4347608,0.9999893002538639,33686908.0,True,554707,158916,6571703464617.38,1931061659004.6167,29.384491698410002,418021859776350.75,1723,136963,33.5,4865014,688.4090336268125
44,332506181724239.75,989.5186157226562,4611001,0.9999917874250195,33462928.0,True,606326,151625,7159191384512.131,1838506528897.8232,25.680365702684867,407138363365441.4,1787,138686,36.4,4699514,639.2068144324807
45,305942874409506.94,962.4633178710938,4349244,0.9999887121167546,30873182.0,True,1004482,431126,11769373540072.414,5057590666488.323,42.97247129822345,407705011809861.25,1935,140473,37.9,4383417,612.9102930706092
46,176415712881975.2,801.0803833007812,4332536,0.9999904895446144,24603096.0,True,1864803,813105,21803276387119.152,9599321488432.934,44.026967864811276,409737080657661.6,2030,142408,50.5,2519630,535.3782427786964
47,183143571122121.34,811.1298828125,4221619,0.999980134548299,23976184.0,True,566687,278045,6625868381397.32,3298980215510.7207,49.78940156392004,410985996549306.2,2452,144438,33.7,2617324,540.2975018404621
48,324151512215825.2,981.1781616210938,4563952,0.9999877318621546,34481196.0,True,610877,202231,7174510925499.686,2379041514270.0493,33.15963330426395,396929810903823.44,1501,146890,34.3,4583401,648.5470696288697
49,324038718814585.2,981.0625610351562,4265376,0.9999882075516751,36241204.0,True,566710,268376,6650898742071.387,3167330821408.0513,47.62259875304616,400190064954236.8,1874,148391,31.3,4585843,689.4078510427099
50,338210581128210.8,995.1787719726562,4219271,0.9999950254259939,34312752.0,True,449313,118491,5274859276350.441,1411616674903.0737,26.761219606975754,395860118882860.94,1805,150265,55.3,4838165,656.3514337612788
63,282241987977930.3,936.8995971679688,3941795,0.9999925407389798,31617894.0,True,700998,158044,8237173150905.706,1923378208358.832,23.3499790901852,366492603843740.75,1805,173751,29.0,4027884,599.88542945775
64,279798246281739.0,934.2469482421875,3962878,0.9999955427522089,31065286.0,True,602579,104410,7117324018063.684,1273793484396.648,17.897084369965107,354287677378579.9,1676,175556,24.8,3989779,602.0223525461557
65,227894857635813.4,872.457763671875,3761894,0.9999896260780035,25186644.0,True,1218710,438749,14164194615336.672,5135592438649.456,36.25756760704736,359178015205196.3,1761,177232,27.0,3289893,565.3987759047797
66,243409716840124.0,891.8367919921875,3708809,0.9999949538726651,29312044.0,True,1044699,661183,12100704549227.363,7715429404214.035,63.76016679711984,354388995377546.5,1652,178993,20.6,3479289,584.6707075681377
67,278848844155963.97,933.1806030273438,3967723,0.9999914049913288,32520582.0,True,460275,203867,5442869065220.062,2427992028311.185,44.608679709494695,340880169120903.44,1353,180645,29.7,3897389,620.9916637132152
68,276792930690876.88,930.85302734375,3742987,0.9999906635403831,34362132.0,True,459415,159746,5419408438725.709,1924741468890.9314,35.5157115514162,340430984970106.3,1495,181998,29.3,3931320,656.1338546535717
69,269337869288824.9,922.4497680664062,3712910,0.9999923357276495,33391800.0,True,403773,118136,4790362977129.939,1428081616773.5645,29.811553395671364,325132284285503.4,1184,183493,21.6,3814295,633.5749806003421
70,258570539701431.94,910.0026245117188,3562222,0.9999966348442823,30909818.0,True,460728,108247,5444223763121.946,1318534691560.124,24.218965805402917,329957748606805.44,1500,184677,24.9,3671124,609.9451534064333
71,276122945960658.4,930.0838623046875,3758077,0.9999987825341239,28504388.0,True,335052,87234,3927954274924.043,1045294247361.3792,26.6116704574315,323806096840862.1,1451,186177,23.4,3919909,600.5224064457127
72,275153216803218.2,929.0459594726562,3476437,0.999987786148138,29678378.0,True,369698,191957,4356411995267.974,2273625118933.449,52.19031444691431,329644279829126.06,1409,187628,23.9,3911625,611.898060996186
73,205733015827982.0,843.2008056640625,3384814,0.9999894627261712,24690024.0,True,1048495,686302,12202691050840.86,8024793594981.018,65.76249092554094,329638715124003.56,1640,189037,22.6,2950649,553.9443186109705
74,205864175639393.28,843.3946533203125,3368174,0.9999875882524885,24152824.0,True,985106,528396,11484781838202.27,6227907719985.878,54.22747952660058,329177997905594.94,1897,190677,16.8,2982864,556.2422221545805
75,134628684238448.48,732.0719604492188,3584945,0.9999873459823172,22116288.0,True,1324835,349701,15543061121877.406,4139492457371.9785,26.63241445757102,314248095890537.4,1251,192574,24.6,1932612,494.5911303868032
76,236042032841563.34,882.7385864257812,3415153,0.999996536651644,29878706.0,True,631771,183115,7428544639993.303,2201963410541.9453,29.64192203526868,320372760278269.9,1609,193825,23.6,3364046,573.3339738157149
34,367825826459625.06,1023.380859375,5070182,0.9999930891915086,32479492.0,True,686275,111406,8101921496250.813,1337897896757.4082,16.513340660934865,457605683265057.56,2239,118255,39.6,5182747,676.3813469837542
51,316146554150059.06,973.0411987304688,4401113,0.9999876243810847,33708120.0,True,545399,133460,6413345777123.901,1576829018141.4307,24.58668334655999,387477625848833.75,1801,152070,45.1,4521137,618.4910098832875
52,275655193571006.78,929.5731201171875,4322938,0.9999801721167827,23568336.0,True,1063512,533819,12405384882337.188,6254997876291.369,50.42163492401794,382900497305875.4,1697,153871,43.5,3888841,622.2264798760838
53,184230519495497.5,812.7424926757812,4039857,0.9999824091291512,24377306.0,True,1243590,881287,14490717544839.27,10318326794952.22,71.20645863825422,386501957161573.7,1968,155568,33.6,2635772,552.7332278757801
54,314248643711248.9,971.0980224609375,4108663,0.9999956033907988,37553192.0,True,505334,207829,5981914744729.891,2500588555680.8423,41.80247734028437,378226260333628.56,1502,157536,44.4,4453184,669.7245891716532
55,242969413151387.66,891.2825317382812,3951623,0.9999897536596694,27563356.0,True,993397,397867,11583308818499.594,4649783558113.309,40.14210128531826,387000675837762.0,1792,159038,31.8,3494882,550.3135423006252
56,296168311282108.06,952.0789794921875,4005523,0.9999906745724161,30885896.0,True,611381,179518,7212145482941.889,2177524151602.336,30.192460159776303,383216503358429.3,1834,160830,33.2,4242211,646.6121293149764
57,301115824291408.3,957.3742065429688,4235665,0.9999937326086643,32909086.0,True,601677,227838,7095912972191.008,2731247792410.8843,38.49043531275942,372334563911647.5,1764,162664,25.2,4246911,643.4657949264987
58,279208848861455.56,933.5523071289062,4174368,0.9999925045867168,32364800.0,True,639109,130570,7550445401430.67,1599433129726.2532,21.183295086448677,376020762981620.9,1708,164428,24.3,3876336,639.5434490006055
59,213580417773841.16,853.8114624023438,4006794,0.9999742282494879,23262588.0,True,1239312,725423,14522598886465.092,8579742333892.488,59.07856025610346,378420967347579.0,1959,166136,25.7,3038753,569.2415560172558
60,290497790264245.6,945.9635620117188,3909730,0.9999935771332628,33623976.0,True,528356,251865,6192934955770.475,2981657295324.5625,48.146110311497836,377345681788824.94,1956,168095,23.5,4104488,631.5989845923469
61,255725187758340.72,906.635498046875,3882727,0.9999863788336786,25254088.0,True,1068358,537046,12387818718687.953,6271671027220.877,50.627726879467424,373195709237525.8,1910,170051,24.5,3671822,616.4995873139391
62,174374604992434.3,797.9891357421875,3901304,0.9999900172404315,20546476.0,True,1968313,475729,22865508945529.156,5630782836420.203,24.625661514178443,369654711488780.6,1790,171961,26.7,2516336,582.3868295908982
